atomic_number,x,y,z
55,0.51945,0.43984,0.25000
55,0.01945,0.06016,0.75000
55,0.98055,0.93984,0.25000
55,0.48055,0.56016,0.75000
82,0.50000,0.00000,0.50000
82,0.00000,0.50000,0.00000
82,0.00000,0.50000,0.50000
82,0.50000,0.00000,0.00000
35,0.55967,0.99374,0.75000
35,0.05967,0.50626,0.25000
35,0.80279,0.20102,0.03170
35,0.19721,0.79898,0.96830
35,0.30279,0.29898,0.96830
35,0.69721,0.70102,0.03170
35,0.30279,0.29898,0.53170
35,0.69721,0.70102,0.46830
35,0.19721,0.79898,0.53170
35,0.80279,0.20102,0.46830
35,0.94033,0.49374,0.75000
35,0.44033,0.00626,0.25000