atomic number,bound coherent scattering lengths
0,-37
1,-3.7409
2,3.26
3,-1.9
4,7.79
5,5.3
6,6.6484
7,9.36
8,5.805
9,5.654
10,4.6
11,3.63
12,5.375
13,3.449
14,4.15071
15,5.13
16,2.847
17,9.5792
18,1.909
19,3.67
20,4.7
21,12.1
22,-3.37
23,-0.443
24,3.635
25,-3.75
26,9.45
27,2.49
28,10.3
29,7.718
30,5.68
31,7.288
32,8.185
33,6.58
34,7.97
35,6.79
36,7.81
37,7.08
38,7.02
39,7.75
40,7.16
41,7.054
42,6.715
43,6.8
44,7.02
45,5.9
46,5.91
47,5.922
48,4.83
49,4.065
50,6.225
51,5.57
52,5.68
53,6.15
54,4.69
55,5.42
56,5.07
57,8.24
58,4.84
59,4.58
60,7.69
61,12.6
62,0
63,5.3
64,9.5
65,7.34
66,16.9
67,8.44
68,7.79
69,7.07
70,12.41
71,7.21
72,7.77
73,6.91
74,4.755
75,9.2
76,10.7
77,10.6
78,9.6
79,7.9
80,12.66
81,8.776
82,9.401
83,8.532
88,10
90,10.31
91,9.1
92,8.417
93,10.55
95,8.3
96,9.5